# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416339616;sda;313.33;0.00;75167.21;239.90;13.12;41.89;0.30;9.35
axle;60;1416339676;sda;2.53;0.00;448.15;176.84;0.01;2.55;0.26;0.07
axle;60;1416339736;sda;3.29;0.00;560.76;170.46;0.01;3.90;0.22;0.07
axle;60;1416339796;sda;2.68;0.00;465.90;173.75;0.01;4.40;0.23;0.06
axle;60;1416339856;sda;4.95;18.40;896.68;184.84;0.03;5.32;0.28;0.14
axle;60;1416339916;sda;3.09;0.53;474.79;153.90;0.02;5.43;0.30;0.09
axle;60;1416339976;sda;1.53;0.00;218.15;142.17;0.00;1.13;0.13;0.02
axle;60;1416340036;sda;0.70;0.00;78.88;112.57;0.00;0.00;0.00;0.00
axle;60;1416340096;sda;0.68;0.00;71.77;104.98;0.00;0.00;0.00;0.00
axle;60;1416340156;sda;0.50;0.00;44.94;89.87;0.00;0.00;0.00;0.00
axle;60;1416340216;sda;0.70;0.00;57.49;82.10;0.00;0.38;0.10;0.01
axle;60;1416340276;sda;0.50;0.00;45.10;90.13;0.00;0.00;0.00;0.00
