# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416340354;17485020;247039404;93.39;70692;43740896;207890524;76.18
axle;61;1416340414;17049848;247474576;93.55;70756;43755196;208182988;76.28
axle;59;1416340474;14060656;250463768;94.68;70860;45814328;209237448;76.67
axle;60;1416340534;15194348;249330076;94.26;70936;46141740;207623472;76.08
axle;60;1416340594;15165264;249359160;94.27;71060;46164960;207633492;76.08
axle;60;1416340654;13220032;251304392;95.00;71172;48275696;207478796;76.02
axle;60;1416340714;13208716;251315708;95.01;71224;48277004;207478800;76.02
axle;60;1416340774;10882976;253641448;95.89;71312;50594220;207489028;76.03
axle;60;1416340834;10896528;253627896;95.88;71380;50595184;207477564;76.02
